Rank,Name,Wealth (in $1B USD),Country of Citizenship,Source of Wealth,Industry
1,Zhong Shanshan,54.297775,China,"Beverages, pharmaceuticals",Food & Beverage
2,Bill Gates,46.6,United States,,Technology
3,Zhang Yiming,45.57,China,TikTok,Technology
4,Warren Buffett,42.9,United States,,Investments
5,Karl Albrecht,23,Germany,,Retail
6,Prince Alwaleed Bin Talal Alsaud,21.5,Saudi Arabia,,Investments
7,Paul Allen,21,United States,,Technology
8,S. Robson Walton,20,United States,,Retail
9,Jim Walton,20,United States,,Retail
10,Alice Walton,20,United States,,Retail
11,Liliane Bettencourt,18.8,France,,Manufacturing
12,Lawrence Ellison,18.7,United States,,Software
13,Ingvar Kamprad,18.5,Sweden,,Retail
14,Zheng Shuliang & family,15.129264,China,Aluminum products,Metals & Mining
15,Carlos Slim Helu,13.9,Mexico,,
16,Zhang Zhidong,13.771974,China,Online games,Technology
17,Michael Dell,13,United States,,
18,Ka-shing Li,12.4,Hong Kong,,
19,Steve Ballmer,12.4,United States,,Technology
20,Bernard Arnault,12.2,France,,
21,Yu Yong,11.507569,China,Mining,Finance & Investments
22,Kwok family,11.4,Hong Kong,,Real Estate
23,Anne Cox Chambers,11.2,United States,,Media
24,Roman Abramovich,10.6,Russia,,Oil
25,John Mars,10.4,United States,,Food
26,Jacqueline Mars,10.4,United States,,Food
27,Forrest Mars,10.4,United States,,Food
28,Zhou Qunfei,10.392636,Hong Kong,Smartphone screens,Technology
29,Zhang Congyuan,10.192997,Taiwan,Shoes,Fashion & Retail
30,Silvio Berlusconi,10,Italy,,Media
31,Abigail Johnson,9.8,United States,,Finance
32,Zhong Huijuan,9.626804,China,Pharmaceuticals,Healthcare
33,Birgit Rausing,9.3,Sweden,,Manufacturing
34,Amancio Ortega,9.2,Spain,,Apparel
35,Charles Ergen,9.1,United States,,Media
36,Sumner Redstone,8.9,United States,,Media
37,Gerald Cavendish Grosvenor,8.7,United Kingdom,,Real Estate
38,Stefan Persson,8.6,Sweden,,Retail
39,Pierre Omidyar,8.5,United States,,
40,Nasser Al-Kharafi,8.4,Kuwait,,Diversified
41,Zhu Yi,8.274875,China,Pharmaceuticals,Healthcare
42,Susanne Klatten,8.1,Germany,,Pharmaceuticals
43,Hans Rausing,8,Sweden,,Manufacturing
44,Michael Otto,8,Germany,,Retail
45,Rupert Murdoch,7.8,United States,,Media
46,Galen Weston,7.7,Canada,,Retail
47,Samuel Newhouse,7.7,United States,,Media
48,Donald Newhouse,7.7,United States,,Media
49,Thomas Pritzker,7.6,United States,,
50,Carl Icahn,7.6,United States,,Investments
51,Ernesto Bertarelli,7.4,Switzerland,,Pharmaceuticals
52,Phil Knight,7.1,United States,,Fashion and Retail
53,George Soros,7,United States,,Finance
54,Zhang Xuexin & family,6.971508,China,Aluminum,Metals & Mining
55,You Xiaoping & family,6.953181,China,Polyurethanes,Manufacturing
56,Leonardo Del Vecchio,6.9,Italy,,Manufacturing
57,August von Finck,6.8,Germany,,Investments
58,Azim Premji,6.7,India,,
59,Stefan Quandt,6.5,Germany,,Manufacturing
60,Serge Dassault,6.4,France,,Manufacturing
61,Shau Kee Lee,6.3,Hong Kong,,Real Estate
62,Zhu Yan & family,6.205188,China,Real estate,Real Estate
63,Lakshmi Mittal,6.2,India,,Manufacturing
64,Maria-Elisabeth &#38; Georg Schaeffler,6.1,Germany,,Manufacturing
65,Zhang Yong,6.004014,Singapore,Restaurants,Food & Beverage
66,Ty Warner,6,United States,,Manufacturing
67,Kirk Kerkorian,6,United States,,Investments
68,Mukesh Ambani,6,India,,Manufacturing
69,Curt Engelhorn,5.9,Germany,,Pharmaceuticals
70,Micky Arison,5.9,n/a,,Service
71,Yuri Milner,5.88657,Israel,Tech investments,Finance & Investments
72,Eli Broad,5.8,United States,,Manufacturing
73,Zong Fuli,5.602234999999999,China,Beverages,Food & Beverage
74,Alain &#38; Gerard Wertheimer,5.6,France,,Apparel
75,Mikhail Fridman,5.6,Russia,,Oil
76,Gordon Moore,5.5,United States,,
77,Hasso Plattner,5.4,Germany,,Software
78,Zeng Fangqin,5.354371,Hong Kong,Smartphone components,Technology
79,Johanna Quandt,5.3,Germany,,Manufacturing
80,Antonia Johnson,5.2,Sweden,,
81,Philip Anschutz,5.2,United States,,
82,Zhu Baoguo & family,5.1687579999999995,China,Pharmaceuticals,Healthcare
83,Jeff Bezos,5.1,United States,,Technology
84,Philip &#38; Cristina Green,5,United Kingdom,,Retail
85,Zhang Tao,4.935657,China,E-commerce,Fashion & Retail
86,Vladimir Potanin,4.9,Russia,,
87,Edward Johnson,4.9,United States,,Finance
88,Eitaro Itoyama,4.9,Japan,,Real Estate
89,Michael Bloomberg,4.9,United States,,Media
90,Zhang Hejun,4.871145,China,Electronics,Manufacturing
91,Mikhail Prokhorov,4.8,Russia,,
92,Zahan Mistry,4.756206,Ireland,Diversified,Diversified
93,Yu Renrong,4.74979,China,Semiconductors,Manufacturing
94,Francois Pinault,4.7,France,,
95,Jim Pattison,4.6,Canada,,
96,Karl-Heinz Kipp,4.6,Germany,,Real Estate
97,Charlene de Carvalho-Heineken,4.6,Netherlands,,Beverages
98,Gustavo Cisneros,4.6,Venezuela,,Media
99,Shari Arison,4.6,Israel,,Finance
100,Erivan Haub,4.5,Germany,,Retail
101,Walter Haefner,4.5,Switzerland,,Technology
102,Luciano Benetton,4.5,Italy,,Apparel
103,Reinhold Wurth,4.4,Germany,,Manufacturing
104,Jeffrey Skoll,4.4,Canada,,
105,Nicky Oppenheimer,4.4,South Africa,,
106,Spiro Latsis,4.4,Greece,,
107,Yoshitaka Fukuda,4.4,Japan,,
108,Zhang Daocai,4.353327,China,Valves,Diversified
109,Robert Kuok,4.2,Malaysia,,Agriculture
110,Kunio Busujima,4.2,Japan,,
111,Lorenzo Mendoza,4.1,Venezuela,,Beverages
112,David Sainsbury,4,United Kingdom,,Retail
113,David Koch,4,United States,,Oil
114,Charles Koch,4,United States,,Oil
115,David Geffen,4,United States,,Media
116,Donald Bren,4,United States,,Real Estate
117,Jeronimo Arango,4,Mexico,,Retail
118,Michael Kadoorie,3.9,Hong Kong,,
119,Zhou Chaonan,3.892422,China,Manufacturing,Manufacturing
120,Henry Ross Perot Sr,3.8,United States,,Technology
121,Ronald Perelman,3.8,United States,,Investments
122,Vladimir Lisin,3.8,Russia,,
123,"James, Arthur &#38; John Irving",3.8,Canada,,Oil
124,Michele Ferrero,3.7,Italy,,Food
125,Jean-Claude Decaux,3.7,France,,Media
126,Abdul Aziz Al Ghurair,3.7,United Arab Emirates,,Finance
127,Zhang Xinghai & family,3.618979,China,Machinery,Manufacturing
128,William Wrigley,3.6,United States,,Food
129,Charles Schwab,3.6,United States,,
130,Lester Crown,3.6,United States,,Investments
131,Zhao Yan,3.599813,China,Biotech,Diversified
132,Yuji Otsuka,3.582538,Japan,"Copy machines, software",Technology
133,Alexey Mordashov,3.5,Russia,,Metals & Mining
134,John Menard,3.5,United States,,Retail
135,Bernard Ecclestone,3.5,United Kingdom,,
136,Klaus Tschira,3.4,Germany,,Software
137,Kun-Hee Lee,3.4,South Korea,,
138,Zhou Jianping,3.3066660000000003,China,Fashion retail,Fashion & Retail
139,Viktor Vekselberg,3.3,Russia,,Oil
140,Anton Schlecker,3.3,Germany,,Retail
141,Ann Walton Kroenke,3.3,United States,,Retail
142,Oleg Deripaska,3.3,Russia,,Manufacturing
143,Zou Zhinong & family,3.259275,China,communication equipment,Manufacturing
144,Yuri Kovalchuk & family,3.223596,Russia,"Banking, insurance, media",Finance & Investments
145,Zhou Bajin,3.2005500000000002,China,Auto parts,Manufacturing
146,Ananda Krishnan,3.2,Malaysia,,
147,William Cook,3.2,United States,,Health care
148,Kumar Birla,3.2,India,,
149,Stephen Bechtel,3.2,United States,,
150,Riley Bechtel,3.2,United States,,
151,Leonard Lauder,3.1,United States,,Apparel
152,Sulaiman Al Rajhi,3.1,Saudi Arabia,,Finance
153,Yusuf Hamied,3.0812489999999997,India,Pharmaceuticals,Healthcare
154,Zhang Fan,3.045741,China,Touch screens,Technology
155,Zarakh Iliev,3.021589,Russia,Real estate,Real Estate
156,Jack Taylor,3,United States,,Service
157,Bernard (Barry) Sherman,3,Canada,,Pharmaceuticals
158,Sergio Mantegazza,3,Switzerland,,
159,George Lucas,3,United States,,Media
160,George Kaiser,3,United States,,Oil
161,Heidi Horten,3,Austria,,Retail
162,David &#38; Frederick Barclay,3,United Kingdom,,Retail
163,Yu Zhuyun,2.9829380000000003,China,Diversified,Construction & Engineering
164,Zhang Jian,2.960016,China,"Electric bikes, scooters",Manufacturing
165,Zhang Lei,2.96,Singapore,Investments,Finance & Investments
166,Leslie Wexner,2.9,United States,,Fashion and Retail
167,Thomas Schmidheiny,2.9,Switzerland,,Construction &#38; Engineering
168,James Goodnight,2.9,United States,,Technology
169,Aloysio de Andrade Faria,2.9,Brazil,,Finance
170,Zhu Gongshan & family,2.812468,China,Solar panel materials,Manufacturing
171,Patrick Wang,2.8,Hong Kong,,Manufacturing
172,Richard Schulze,2.8,United States,,Retail
173,Craig McCaw,2.8,United States,,Media
174,Eliodoro Matte,2.8,Chile,,
175,Nancy Walton Laurie,2.8,United States,,Retail
176,Kwek Leng Beng,2.8,Singapore,,
177,Henry Hillman,2.8,n/a,,Investments
178,Michael Herz,2.8,Germany,,Retail
179,Terry Gou,2.8,Taiwan,,
180,Zheng Jianjiang & family,2.782069,China,Electrical equipment,Manufacturing
181,Karl Wlaschek,2.7,Austria,,Retail
182,Michael &#38; Rainer Schmidt-Ruthenbeck,2.7,Germany,,Retail
183,Ferit Sahenk,2.7,Turkey,,Finance
184,Robert Rowling,2.7,United States,,
185,A. Jerrold Perenchio,2.7,United States,,Media
186,Sammy Ofer,2.7,Israel,,Logistics
187,Sunil Mittal,2.7,India,,
188,Otto Happel,2.7,Germany,,Construction &#38; Engineering
189,Edgar Bronfman,2.7,United States,,Food
190,Otto Beisheim,2.7,Germany,,Retail
191,Vagit Alekperov,2.7,Russia,,Oil
192,Zhou Hongyi,2.65772,China,Security software,Technology
193,Zhang Li,2.605768,China,Real estate,Real Estate
194,Stephan Schmidheiny,2.6,Switzerland,,Investments
195,Willi & Isolde Liebherr,2.6,Switzerland,,Construction & Engineering
196,Charles Johnson,2.6,United States,,Finance
197,Wolfgang Herz,2.6,Germany,,Retail
198,Robert Bass,2.6,United States,,Oil
199,Donald Trump,2.5,United States,,Real Estate
200,Steven Spielberg,2.5,United States,,Media
201,David Rockefeller,2.5,United States,,Oil
202,Kjeld Kirk Kristiansen,2.5,Denmark,,Manufacturing
203,Masatoshi Ito,2.5,Japan,,Retail
204,Martha Ingram,2.5,United States,,Media
205,Jon Huntsman,2.5,United States,,
206,Charles Bronfman,2.5,Canada,,Beverages
207,Zhao Lixin,2.4868159999999997,China,Electronics,Technology
208,Zhao Fenggang,2.4125140000000003,China,Batteries,Energy
209,Zhu Xingming,2.4070709999999997,China,Electrical equipment,Manufacturing
210,Steven Udvar-Hazy,2.4,United States,,
211,"""Robert E """"Ted"""" Turner""",2.4,United States,,Media
212,Masayoshi Son,2.4,Japan,,Software
