Rank,Name,Wealth (in $1B USD),Country of Citizenship,Residence
1,William Gates III,56,United States,United States
2,Warren Buffett,52,United States,United States
3,Carlos Slim Helu,49,Mexico,Mexico
4,Ingvar Kamprad & family,33,Sweden,Switzerland
5,Lakshmi Mittal,32,India,United Kingdom
6,Sheldon Adelson,26.5,United States,United States
7,Bernard Arnault,26,France,France
8,Amancio Ortega,24,Spain,Spain
9,Li Ka-shing,23,Hong Kong,Hong Kong
10,David Thomson & family,22,Canada,Canada
11,Lawrence Ellison,21.5,United States,United States
12,Liliane Bettencourt,20.7,France,France
13,Prince Alwaleed Bin Talal Alsaud,20.3,Saudi Arabia,Saudi Arabia
14,Mukesh Ambani,20.1,India,India
15,Karl Albrecht,20,Germany,Germany
16,Roman Abramovich,18.7,Russia,United Kingdom
17,Stefan Persson,18.4,Sweden,Sweden
18,Anil Ambani,18.2,India,India
19,Paul Allen,18,United States,United States
20,Theo Albrecht,17.5,Germany,Germany
21,Azim Premji,17.1,India,India
22,Lee Shau Kee,17,Hong Kong,Hong Kong
23,Jim Walton,16.8,United States,United States
24,Christy Walton & family,16.7,United States,United States
25,S Robson Walton,16.7,United States,United States
26,Sergey Brin,16.6,United States,United States
27,Larry Page,16.6,United States,United States
28,Alice Walton,16.6,United States,United States
29,Helen Walton,16.4,United States,United States
30,Michael Dell,15.8,United States,United States
31,Steven Ballmer,15,United States,United States
32,Kirk Kerkorian,15,United States,United States
33,"Raymond, Thomas & Walter Kwok",15,Hong Kong,Hong Kong
34,Francois Pinault,14.5,France,France
35,Suleiman Kerimov,14.4,Russia,Russia
36,Vladimir Lisin,14.3,Russia,Russia
37,Jack Taylor & family,13.9,United States,United States
38,Vladimir Potanin,13.5,Russia,Russia
39,Mikhail Prokhorov,13.5,Russia,Russia
40,Oleg Deripaska,13.3,Russia,Russia
41,Michael Otto & family,13.3,Germany,Germany
42,Carl Icahn,13,United States,United States
43,Abigail Johnson,13,United States,United States
44,Adolf Merckle,12.8,Germany,Germany
45,Barbara Cox Anthony,12.6,United States,United States
46,Anne Cox Chambers,12.6,United States,United States
47,Mikhail Fridman,12.6,Russia,Russia
48,Vagit Alekperov,12.4,Russia,Russia
49,Charles Koch,12,United States,United States
50,David Koch,12,United States,United States
51,Silvio Berlusconi & family,11.8,Italy,Italy
52,Nasser Al-Kharafi & family,11.5,Kuwait,Kuwait
53,Leonardo Del Vecchio,11.5,Italy,Italy
54,Alexei Mordashov,11.2,Russia,Russia
55,Gerald Cavendish Grosvenor & family,11,United Kingdom,United Kingdom
56,Spiro Latsis & family,11,Greece,Switzerland
57,Birgit Rausing & family,11,Sweden,Switzerland
58,Forrest Mars Jr,10.5,United States,United States
59,Jacqueline Mars,10.5,United States,United States
60,John Mars,10.5,United States,United States
61,Viktor Vekselberg,10.4,Russia,Russia
62,Serge Dassault & family,10,France,France
63,Charles Ergen,10,United States,United States
64,Michele Ferrero & family,10,Italy,Monaco
65,Naguib Sawiris,10,Egypt,Egypt
66,Kushal Pal Singh,10,India,India
67,Alain & Gerard Wertheimer,10,France,n/a
68,Susanne Klatten,9.6,Germany,Germany
69,Philip Knight,9.5,United States,United States
70,Sunil Mittal & family,9.5,India,India
71,John Kluge,9.1,United States,United States
72,Vladimir Yevtushenkov,9.1,Russia,Russia
73,Rupert Murdoch,9,United States,United States
74,Hans Rausing,9,Sweden,United Kingdom
75,Reinhold Würth,9,Germany,Germany
76,Ernesto Bertarelli,8.8,Switzerland,Switzerland
77,Pierre Omidyar,8.8,United States,United States
78,Maria-Elisabeth & Georg Schaeffler,8.7,Germany,Germany
79,Rafael del Pino & family,8.6,Spain,Spain
80,Donald Bren,8.5,United States,United States
81,George Kaiser,8.5,United States,United States
82,George Soros,8.5,United States,United States
83,Nikolai Tsvetkov,8.4,Russia,Russia
84,August von Finck,8.4,Germany,Switzerland
85,Dan Duncan,8.2,United States,United States
86,Mohammed Al Amoudi,8,Saudi Arabia,Saudi Arabia
87,Abdul Aziz Al Ghurair & family,8,United Arab Emirates,United Arab Emirates
88,Kumar Birla,8,India,India
89,German Khan,8,Russia,Russia
90,Iskander Makhmudov,8,Russia,Russia
91,Sumner Redstone,8,United States,United States
92,Shashi & Ravi Ruia,8,India,India
93,Philip Anschutz,7.9,United States,United States
94,Galen Weston & family,7.9,Canada,Canada
95,Enrique Bañuelos,7.7,Spain,Spain
96,Stefan Quandt,7.6,Germany,Germany
97,Maan Al-Sanea,7.5,Saudi Arabia,Saudi Arabia
98,Edward Johnson III,7.5,United States,United States
99,Sulaiman Al Rajhi,7.4,Saudi Arabia,Saudi Arabia
100,Donald Newhouse,7.3,United States,United States
101,Samuel Newhouse Jr,7.3,United States,United States
102,Leonard Blavatnik,7.2,United States,United States
103,Charlene de Carvalho-Heineken,7.2,Netherlands,United Kingdom
104,John Fredriksen,7,Cyprus,United Kingdom
105,Philip & Cristina Green,7,United Kingdom,Monaco
106,Stanley Ho,7,Hong Kong,Hong Kong
107,Robert Kuok,7,Malaysia,Hong Kong
108,Ronald Perelman,7,United States,United States
109,Viktor Rashnikov,7,Russia,Russia
110,Tsai Hong-tu & family,7,Taiwan,Taiwan
111,Johanna Quandt,6.7,Germany,Germany
112,Antonia Johnson,6.6,Sweden,Sweden
113,Cheng Yu-tung,6.5,Hong Kong,Hong Kong
114,Ramesh Chandra,6.4,India,India
115,Curt Engelhorn,6.4,Germany,Switzerland
116,Alexei Kuzmichov,6.2,Russia,Russia
117,Eric Schmidt,6.2,United States,United States
118,Ng Teng Fong,6.1,Singapore,Singapore
119,Anacleto Angelini,6,Chile,Chile
120,Eli Broad,6,United States,United States
121,Gustavo Cisneros & family,6,Venezuela,Venezuela
122,Erivan Haub & family,6,Germany,Germany
123,Petr Kellner,6,Czech Republic,Czech Republic
124,Ananda Krishnan,6,Malaysia,Malaysia
125,Lorenzo Mendoza & family,6,Venezuela,Venezuela
126,Hasso Plattner,6,Germany,Germany
127,Joseph Safra,6,Brazil,Brazil
128,Klaus-Michael Kühne,5.9,Germany,Switzerland
129,Micky Arison,5.8,United States,United States
130,"James, Arthur & John Irving",5.8,Canada,Canada
131,Masayoshi Son,5.8,Japan,Japan
132,Steven Jobs,5.7,United States,United States
133,Karl-Heinz Kipp,5.7,Germany,Switzerland
134,Akira Mori & family,5.7,Japan,Japan
135,Dmitry Pumpyansky,5.7,Russia,Russia
136,Julio Mario Santo Domingo,5.7,Colombia,Colombia
137,Alexander Abramov,5.6,Russia,Russia
138,Charles Johnson,5.6,United States,United States
139,Esther Koplowitz,5.6,Spain,Spain
140,Eliodoro Matte & family,5.6,Chile,Chile
141,Pallonji Mistry,5.6,India,India
142,Robert Bass,5.5,United States,United States
143,Michael Bloomberg,5.5,United States,United States
144,Terry Gou,5.5,Taiwan,Taiwan
145,Vladimir Kim,5.5,Kazakhstan,Kazakhstan
146,James Packer,5.5,Australia,Australia
147,Madeleine Schickedanz,5.5,Germany,Switzerland
148,Thomas Schmidheiny,5.5,Switzerland,Switzerland
149,Alisher Usmanov,5.5,Russia,Russia
150,Robert Rowling,5.4,United States,United States
151,Roustam Tariko,5.4,Russia,Russia
152,Leonid Fedun,5.3,Russia,Russia
153,Bradley Hughes,5.3,United States,United States
154,Michael Kadoorie & family,5.3,Hong Kong,Hong Kong
155,John Menard Jr,5.2,United States,United States
156,Charles Schwab,5.2,United States,United States
157,YC Wang & family,5.1,Taiwan,Taiwan
158,Alberto Bailleres,5,Mexico,Mexico
159,Jean-Claude Decaux & family,5,France,France
160,Alicia Koplowitz,5,Spain,Spain
161,Ralph Lauren,5,United States,United States
162,Nicky Oppenheimer & family,5,South Africa,South Africa
163,Onsi Sawiris,5,Egypt,Egypt
164,Samuel Zell,5,United States,United States
165,Jorge Paulo Lemann,4.9,Brazil,Brazil
166,Edward Rogers,4.9,Canada,Canada
167,David Geffen,4.7,United States,United States
168,Boris Ivanishvili,4.7,Russia,France
169,Nobutada Saji & family,4.7,Japan,Japan
170,Luis Carlos Sarmiento,4.7,Colombia,Colombia
171,Wee Cho Yaw,4.7,Singapore,Singapore
172,Rupert Johnson Jr,4.6,United States,United States
173,Frank Lowy & family,4.6,Australia,Australia
174,Andrey Melnichenko,4.6,Russia,Russia
175,Sergei Popov,4.6,Russia,Russia
176,Ricardo Salinas Pliego,4.6,Mexico,Mexico
177,Giorgio Armani,4.5,Italy,Italy
178,Otto Beisheim,4.5,Germany,Switzerland
179,Martin & Olivier Bouygues,4.5,France,France
180,Lester Crown & family,4.5,United States,United States
181,James Goodnight,4.5,United States,United States
182,Herbert Kohler & family,4.5,United States,United States
183,Edward Lampert,4.5,United States,United States
184,Sean Quinn & family,4.5,Ireland,Ireland
185,David & Simon Reuben,4.5,United Kingdom,United Kingdom
186,James Sorenson,4.5,United States,United States
187,Ty Warner,4.5,United States,United States
188,Saleh Al Rajhi,4.4,Saudi Arabia,Saudi Arabia
189,Jeffrey Bezos,4.4,United States,United States
190,Kunio Busujima & family,4.4,Japan,Japan
191,Henry Ross Perot,4.4,United States,United States
192,Bernard (Barry) Sherman,4.4,Canada,Canada
193,Stef Wertheimer & family,4.4,Israel,Israel
194,Jeronimo Arango,4.3,Mexico,Mexico
195,Shari Arison,4.3,Israel,Israel
196,Hubert Burda,4.3,Germany,Germany
197,Walter Haefner,4.3,Switzerland,Switzerland
198,Simon Halabi,4.3,United Kingdom,United Kingdom
199,Kwek Leng Beng & family,4.3,Singapore,Singapore
200,Leonid Mikhelson,4.3,Russia,Russia
201,Johann Rupert & family,4.3,South Africa,South Africa
202,Michael & Rainer Schmidt-Ruthenbeck,4.3,Germany,Germany
203,Hiroko Takei & family,4.3,Japan,Japan
204,Robert Holding,4.2,United States,United States
205,Lim Goh Tong & family,4.2,Malaysia,Malaysia
206,Ronald McAulay,4.2,Hong Kong,Hong Kong
207,David Murdock,4.2,United States,United States
208,Jeffrey Skoll,4.2,Canada,United States
209,Nina Wang,4.2,Hong Kong,Hong Kong
